Frame,YAW Angle
262,151.8338157
263,152.4067735
264,152.9797313
265,153.5526891
266,154.1256469
267,154.6986047
268,155.2715625
269,155.8445203
270,156.4174781
271,156.9904359
272,157.5633937
273,158.1363515
274,158.7093093
275,159.282267
276,159.8552248
277,160.4281826
278,161.0011404
279,161.5740982
280,162.147056
281,162.7200138
282,163.2929716
283,163.8659294
284,164.4388872
285,165.011845
286,165.5848028
287,166.1577606
288,166.7307184
289,167.3036762
290,167.876634
291,168.4495918
292,169.0225496
293,169.5955074
294,170.1684652
295,170.7414229
296,171.3143807
297,171.8873385
298,172.4602963
299,173.0332541
300,173.6062119
301,174.1791697
302,174.7521275
303,175.3250853
304,175.8980431
305,176.4710009
306,177.0439587
307,177.6169165
308,178.1898743
309,178.7628321
310,179.3357899
311,179.9087477
312,180.4817055
313,181.0546633
314,181.6276211
315,182.2005789
316,182.7735366
317,183.3464944
318,183.9194522
319,184.49241
320,185.0653678
321,185.6383256
322,186.2112834
323,186.7842412
324,187.357199
325,187.9301568
326,188.5031146
327,189.0760724
328,189.6490302
329,190.221988
330,190.7949458
331,191.3679036
332,191.9408614
333,192.5138192
334,193.086777
335,193.6597348
336,194.2326925
337,194.8056503
338,195.3786081
339,195.9515659
340,196.5245237
341,197.0974815
342,197.6704393
343,198.2433971
344,198.8163549
345,199.3893127
346,199.9622705
347,200.5352283
348,201.1081861
349,201.6811439
350,202.2541017
351,203.9729751
352,204.5459329
353,205.1188907
354,205.6918485
355,206.2648062
356,206.837764
357,207.4107218
358,207.9836796
359,208.5566374
360,209.1295952
361,209.702553
362,210.2755108
363,210.8484686
364,211.4214264
365,211.9943842
366,212.567342
367,213.1402998
368,213.7132576
369,214.2862154
370,214.8591732
371,215.432131
372,216.0050888
373,216.5780466
374,217.1510044
375,217.7239621
376,218.2969199
377,218.8698777
378,219.4428355
379,220.0157933
380,220.5887511
381,221.1617089
382,221.7346667
383,222.3076245
384,222.8805823
385,223.4535401
386,224.0264979
387,224.5994557
388,225.1724135
389,225.7453713
390,226.3183291
391,226.8912869
392,227.4642447
393,228.0372025
394,228.6101603
395,229.1831181
396,229.7560758
397,230.3290336
398,230.9019914
399,231.4749492
400,232.047907
401,232.6208648
402,233.1938226
403,233.7667804
404,234.3397382
405,234.912696
406,235.4856538
407,236.0586116
408,236.6315694
409,237.2045272
410,237.777485
411,238.3504428
412,238.9234006
413,239.4963584
414,240.0693162
415,240.642274
416,241.2152318
417,241.7881895
418,242.3611473
419,242.9341051
420,243.5070629
421,244.0800207
422,244.6529785
423,245.2259363
424,245.7988941
425,246.3718519
426,246.9448097
427,247.5177675
428,248.0907253
429,248.6636831
430,249.2366409
431,249.8095987
432,250.3825565
433,250.9555143
434,251.5284721
435,252.1014299
436,252.6743877
437,253.2473454
438,253.8203032
439,254.393261
440,254.9662188
441,255.5391766
442,256.1121344
443,256.6850922
444,257.25805
445,257.8310078
446,258.4039656
447,258.9769234
448,259.5498812
449,260.122839
450,260.6957968
451,261.2687546
452,261.8417124
453,262.4146702
454,262.987628
455,263.5605858
456,264.1335436
457,264.7065014
458,265.2794591
459,265.8524169
460,266.4253747
461,266.9983325
462,267.5712903
463,268.1442481
464,268.7172059
465,269.2901637
466,269.8631215
467,270.4360793
468,273.3008683
469,273.8738261
470,274.4467839
471,275.0197417
472,275.5926995
473,276.1656573
474,276.738615
475,277.3115728
476,277.8845306
477,278.4574884
478,279.0304462
479,279.603404
480,280.1763618
481,280.7493196
482,281.3222774
483,281.8952352
484,282.468193
485,283.0411508
486,283.6141086
487,284.1870664
488,284.7600242
489,285.332982
490,285.9059398
491,286.4788976
492,287.0518554
493,287.6248132
494,288.197771
495,288.7707287
496,289.3436865
497,289.9166443
498,290.4896021
499,291.0625599
500,291.6355177
501,292.2084755
502,292.7814333
503,293.3543911
504,293.9273489
505,294.5003067
506,295.0732645
507,295.6462223
508,296.2191801
509,296.7921379
510,297.3650957
511,297.9380535
512,298.5110113
513,299.0839691
514,299.6569269
515,300.2298846
516,300.8028424
517,301.3758002
518,301.948758
519,302.5217158
520,303.0946736
521,303.6676314
522,304.2405892
523,304.813547
524,305.3865048
525,305.9594626
526,306.5324204
527,307.1053782
528,307.678336
529,308.2512938
530,308.8242516
531,309.3972094
532,309.9701672
533,310.543125
534,311.1160828
535,311.6890406
536,312.2619983
537,312.8349561
538,313.4079139
539,313.9808717
540,314.5538295
541,315.1267873
542,315.6997451
543,316.2727029
544,316.8456607
545,317.4186185
546,317.9915763
547,318.5645341
548,319.1374919
549,319.7104497
550,320.2834075
551,320.8563653
552,321.4293231
553,322.0022809
554,322.5752387
555,323.1481965
556,323.7211542
557,324.294112
558,324.8670698
559,325.4400276
560,326.0129854
561,326.5859432
562,327.158901
563,327.7318588
564,328.3048166
565,328.8777744
566,329.4507322
567,330.02369
568,330.5966478
569,331.1696056
570,331.7425634
571,332.3155212
572,332.888479
573,333.4614368
574,334.0343946
575,334.6073524
576,335.1803102
577,335.7532679
578,336.3262257
579,336.8991835
580,337.4721413
581,338.0450991
582,338.6180569
583,339.1910147
584,339.7639725
585,340.3369303
586,340.9098881
587,341.4828459
588,342.0558037
589,342.6287615
590,343.2017193
591,343.7746771
592,344.9205927
593,345.4935505
594,346.0665083
595,347.2124238
596,347.7853816
597,348.3583394
598,348.9312972
599,349.504255
600,350.0772128
601,350.6501706
602,351.2231284
603,351.7960862
604,352.369044
605,352.9420018
606,353.5149596
607,354.0879174
