Frame,YAW Angle
1,0
2,0.572957795
3,1.14591559
4,1.718873385
5,2.291831181
6,2.864788976
7,3.437746771
8,4.010704566
9,4.583662361
10,5.156620156
11,5.729577951
12,6.302535746
13,6.875493542
14,7.448451337
15,8.021409132
16,8.594366927
17,9.167324722
18,9.740282517
19,10.31324031
20,10.88619811
21,11.4591559
22,12.0321137
23,12.60507149
24,13.17802929
25,13.75098708
26,14.32394488
27,14.89690267
28,15.46986047
29,16.04281826
30,16.61577606
31,17.18873385
32,17.76169165
33,18.33464944
34,18.90760724
35,19.48056503
36,20.05352283
37,20.62648062
38,21.19943842
39,21.77239621
40,22.34535401
41,22.91831181
42,23.4912696
43,24.0642274
44,24.63718519
45,25.21014299
46,25.78310078
47,26.35605858
48,26.92901637
49,27.50197417
50,28.07493196
51,28.64788976
52,29.22084755
53,29.79380535
54,30.36676314
55,30.93972094
56,31.51267873
57,32.08563653
58,32.65859432
59,33.23155212
60,33.80450991
61,34.37746771
62,34.9504255
63,35.5233833
64,36.09634109
65,36.66929889
66,37.24225668
67,37.81521448
68,38.38817227
69,38.96113007
70,39.53408786
71,40.10704566
72,40.68000345
73,41.25296125
74,41.82591904
75,42.39887684
76,42.97183463
77,43.54479243
78,44.11775023
79,44.69070802
80,45.26366582
81,45.83662361
82,46.40958141
83,46.9825392
84,47.555497
85,48.12845479
86,48.70141259
87,49.27437038
88,49.84732818
89,50.42028597
90,50.99324377
91,51.56620156
92,52.13915936
93,52.71211715
94,53.28507495
95,53.85803274
96,54.43099054
97,55.00394833
98,55.57690613
99,56.14986392
100,56.72282172
101,57.29577951
102,57.86873731
103,58.4416951
104,59.0146529
105,59.58761069
106,60.16056849
107,60.73352628
108,61.30648408
109,61.87944187
110,62.45239967
111,63.02535746
112,63.59831526
113,64.17127305
114,64.74423085
115,65.31718864
116,65.89014644
117,66.46310424
118,67.03606203
119,67.60901983
120,68.18197762
121,68.75493542
122,69.32789321
123,69.90085101
124,70.4738088
125,71.0467666
126,71.61972439
127,72.19268219
128,72.76563998
129,73.33859778
130,73.91155557
131,74.48451337
132,75.05747116
133,75.63042896
134,76.20338675
135,76.77634455
136,77.34930234
137,77.92226014
138,78.49521793
139,79.06817573
140,79.64113352
141,80.21409132
142,80.78704911
143,81.36000691
144,81.9329647
145,82.5059225
146,83.07888029
147,83.65183809
148,84.22479588
149,84.79775368
150,85.37071147
151,85.94366927
152,86.51662706
153,87.08958486
154,87.66254266
155,88.23550045
156,88.80845825
157,89.38141604
158,89.95437384
159,90.52733163
160,91.10028943
161,91.67324722
162,92.24620502
163,92.81916281
164,93.39212061
165,93.9650784
166,94.5380362
167,95.11099399
168,95.68395179
169,96.25690958
170,96.82986738
171,97.40282517
172,97.97578297
173,98.54874076
174,99.12169856
175,99.69465635
176,102.5594453
177,103.1324031
178,103.7053609
179,104.2783187
180,104.8512765
181,105.4242343
182,105.9971921
183,106.5701499
184,107.1431077
185,107.7160655
186,108.2890233
187,108.8619811
188,109.4349389
189,110.0078967
190,110.5808545
191,111.1538123
192,111.7267701
193,112.2997278
194,112.8726856
195,113.4456434
196,114.0186012
197,114.591559
198,115.1645168
199,115.7374746
200,116.3104324
201,116.8833902
202,117.456348
203,118.0293058
204,118.6022636
205,119.1752214
206,119.7481792
207,120.321137
208,120.8940948
209,121.4670526
210,122.0400104
211,122.6129682
212,123.185926
213,123.7588837
214,124.3318415
215,124.9047993
216,125.4777571
217,126.0507149
218,126.6236727
219,127.1966305
220,127.7695883
221,128.3425461
222,128.9155039
223,129.4884617
224,130.0614195
225,130.6343773
226,131.2073351
227,131.7802929
228,132.3532507
229,132.9262085
230,133.4991663
231,134.0721241
232,134.6450819
233,135.2180397
234,135.7909974
235,136.3639552
236,136.936913
237,137.5098708
238,138.0828286
239,138.6557864
240,139.2287442
241,139.801702
242,140.3746598
243,140.9476176
244,141.5205754
245,142.0935332
246,142.666491
247,143.2394488
248,143.8124066
249,144.3853644
250,144.9583222
251,145.53128
252,146.1042378
253,146.6771956
254,147.2501533
255,147.8231111
256,148.3960689
257,148.9690267
258,149.5419845
259,150.1149423
260,150.6879001
261,151.2608579
